source_track	source_contract	source_schema_version	source_field	source_semantic	source_unit	source_authority	target_track	target_contract	target_schema_version	target_field	target_semantic	target_unit	target_authority	mapping_rule	required	nullable	identity_namespace	lineage_required	quality_requirement	privacy_class	retention_class	compatibility_status	failure_code
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	subjectRef	profile subject reference	reference	Data projection	Recommendation	current P1 profile source	protected current schema	user/subject identity	profile subject	reference	Recommendation	approved explicit identity binding only	true	false	subject:<opaque-id>|user:<numeric-id>	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_identity_namespace_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	activityWindowDays	exact activity window	days	Data projection	Recommendation	current P1 profile source	protected current schema	observation window	profile observation window	days	Recommendation	exactly 7,30,90 and approved consumer mapping	true	false	none	true	VALIDATED	internal	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_window_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	interactionCounts	bounded behavior event counts	count	Data projection	Recommendation	current P1 profile source	protected current schema	behavior facts	profile input facts	count	Recommendation	explicit vocabulary mapping; no metric denominator change	true	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_field_semantic_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	recentRegions	ranked region references	count+instant+reference	Data projection	Recommendation	current P1 profile source	protected current schema	region facts	profile region input	approved region fact	Recommendation	registered region semantics and stable ranking	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_field_semantic_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	recentContentRefs	ranked content references	count+instant+reference	Data projection	Recommendation	current P1 profile source	protected current schema	content facts	profile content input	approved entity reference	Recommendation	entity refs only; no candidate/ranking authority	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_authority_violation
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	recentTagRefs	ranked tag references	count+instant+reference	Data projection	Recommendation	current P1 profile source	protected current schema	tag facts	profile tag input	approved tag reference	Recommendation	approved vocabulary mapping	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	recommendation_field_semantic_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	engagementSignals	positive behavior facts	count	Data projection	Recommendation	recommendation-metrics-v1	recommendation-metrics-v1	engagement_rate	P2 exposed-subject metric	ratio	Reliability	must not be used as P2 metric numerator/denominator without exact exposure dataset	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	NOT_APPLICABLE	recommendation_metric_semantic_violation
Data	experiment-outcome-input-v1	experiment-outcome-input-v1	exposureRef	authoritative P2 exposure reference	reference	Reliability protected source	Recommendation	recommendation-evaluation-dataset-v1	recommendation-evaluation-dataset-v1	exposure authority	P2 denominator exposure	reference	Reliability	exact recommendation_p2_experiment_exposure binding	true	false	user:<numeric-id>|approved binding	true	VALIDATED	restricted	owner retention	COMPATIBLE	recommendation_authority_violation
Data	experiment-outcome-input-v1	experiment-outcome-input-v1	outcomeWindowSeconds	attribution window	seconds	Data projection	Recommendation	recommendation-metrics-v1	recommendation-metrics-v1	attribution window	engagement attribution window	seconds	Reliability	exactly 604800	true	false	none	true	VALIDATED	internal	projection_evidence_90d	COMPATIBLE	recommendation_window_mismatch
Data	experiment-outcome-input-v1	experiment-outcome-input-v1	clicked|liked|saved|shared	outcome booleans	boolean	Data projection	Recommendation	recommendation-evaluation-dataset-v1	recommendation-evaluation-dataset-v1	engagement observation	click like save share after exposure	boolean	Reliability	exact event set and exposure window	true	false	bound subject	true	VALIDATED	pseudonymous	projection_evidence_90d	COMPATIBLE	recommendation_metric_semantic_violation
Data	experiment-outcome-input-v1	experiment-outcome-input-v1	fallbackObserved	bound run fallback observation	boolean	Recommendation run authority	Recommendation	recommendation-evaluation-dataset-v1	recommendation-evaluation-dataset-v1	fallback observation	run_status=fallback	boolean	Reliability	exact bound exposed run only	true	false	bound subject	true	VALIDATED	internal	owner retention	COMPATIBLE	recommendation_metric_semantic_violation
Data	data-projection-snapshot-v1	data-projection-snapshot-v1	snapshotRef	immutable source snapshot	reference	Data	Intelligence	intelligence-input-snapshot-v1	intelligence-input-snapshot-v1	snapshotId/sourceRefs	immutable input evidence	reference	Intelligence	read-only envelope mapping after approved domain contract	true	false	optional identity context	true	VALIDATED	pseudonymous	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	intelligence_contract_missing
Data	data-projection-snapshot-v1	data-projection-snapshot-v1	projectionSchemaVersion	Data payload schema	version	Data	Intelligence	intelligence-input-snapshot-v1	intelligence-input-snapshot-v1	schemaVersion	Intelligence input payload schema	version	Intelligence	approved Data-specific domain mapping required	true	false	none	true	VALIDATED	internal	projection_evidence_90d	UNVERIFIED	intelligence_contract_missing
Data	data-projection-snapshot-v1	data-projection-snapshot-v1	contentFingerprint	Data canonical content hash	sha256	Data	Intelligence	intelligence-input-snapshot-v1	intelligence-input-snapshot-v1	contentHash	Intelligence snapshot content hash	sha256	Intelligence	preserve source fingerprint reference; do not reuse canonical domain	true	false	none	true	VALIDATED	internal	projection_evidence_90d	CONDITIONALLY_COMPATIBLE	intelligence_field_semantic_mismatch
Data	data-quality-verdict-sha256-v1	data-quality-policy-v1	overallStatus	Data quality validation result	enum	Data	Intelligence	intelligence-input-snapshot-v1	intelligence-input-snapshot-v1	confidence/model result	domain confidence	domain-specific	Intelligence	VALIDATED gates input only; never map to confidence	true	false	none	true	VALIDATED	internal	data_quality_evidence_90d	NOT_APPLICABLE	intelligence_quality_semantic_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	subjectRef	profile subject identity	reference	Data	Search	search-document-projection-v1	search-document-projection-v1	document_id	stable post document identity	reference	Search	user/profile identity cannot become document identity	true	false	subject:<opaque-id>	true	VALIDATED	pseudonymous	projection_evidence_90d	INCOMPATIBLE	search_document_identity_mismatch
Data	experiment-outcome-input-v1	experiment-outcome-input-v1	exposureRef	experiment observation identity	reference	Data/Reliability	Search	search-document-projection-v1	search-document-projection-v1	document_id	stable post document identity	reference	Search	experiment exposure is not a Search document	true	false	user:<numeric-id>|approved binding	true	VALIDATED	restricted	projection_evidence_90d	INCOMPATIBLE	search_document_identity_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	recentRegions	user-observed region aggregates	count+instant+reference	Data	Search	search-document-projection-v1	search-document-projection-v1	region_reference	document source region	reference	Search	same name insufficient; approved document mapping absent	false	false	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	UNVERIFIED	search_region_semantic_mismatch
Data	recommendation-profile-input-v1	recommendation-profile-input-v1	recentTagRefs	user-observed tag aggregates	count+instant+reference	Data	Search	search-document-projection-v1	search-document-projection-v1	none	no approved tag field	none	Search	no target field or contract	false	true	subject binding	true	VALIDATED	pseudonymous	projection_evidence_90d	UNVERIFIED	search_contract_missing
Data	data-projection-snapshot-sha256-v1	data-projection-snapshot-v1	contentFingerprint	Data snapshot content domain	sha256	Data	Search	search-document-projection-v1	search-document-projection-v1	deterministic_content_hash	Search document content domain	sha256	Search	fingerprint domains are not interchangeable	true	false	none	true	VALIDATED	internal	projection_evidence_90d	INCOMPATIBLE	search_fingerprint_mismatch
